,date,user,content,likecount,tag
0,2022-09-12 21:12:59+00:00,https://twitter.com/BitcoinMagazine," King Charles III on It's a ""very interesting development.""",8181,1
1,2022-09-19 22:25:35+00:00,https://twitter.com/AltcoinDailyio, WTF... they just added another color to the bottom of the rainbow chart.,7039,-1
2,2022-09-14 19:29:57+00:00,https://twitter.com/ChillyDawg423, Everytime I see someone with bitcoin in their bio I get mad at their audacity to breath air,7013,-1
3,2022-08-29 19:16:52+00:00,https://twitter.com/BTC_Archive, BREAKING: Iran has approved regulations for trading mining and paying for imports with Bitcoin or crypto. HUGE!,6382,1
4,2022-09-20 18:41:13+00:00,https://twitter.com/cz_binance, Welcome Nasdaq to crypto! Nasdaq To Launch Institutional Bitcoin Crypto Custody Services: Report | Nasdaq,6211,1
5,2022-09-08 18:23:26+00:00,https://twitter.com/ErikVoorhees, A good bitcoiner should defend defi on ethereum when the government attacks it on grounds of surveillance. A good ethereumer should defend PoW on bitcoin when the government attacks it on grounds of energy use. The war is money vs state. The latter is powerful. Do not squabble.,4892,1
6,2022-08-24 20:02:37+00:00,https://twitter.com/natbrunell, I paid off my own student loans. Before I owned By working my ass off.,4552,1
7,2022-08-25 20:44:35+00:00,https://twitter.com/BitcoinMagazine, Paying for a coffee in Gibraltar with That was so quick and easy!,4486,1
8,2022-08-07 16:33:50+00:00,https://twitter.com/BitcoinMagazine, Be your own bank tram in Hong Kong,4346,1
9,2022-09-28 20:27:56+00:00,https://twitter.com/BitcoinMagazine, I love that it can't be stopped! - U.S. Senator on,4217,1
10,2022-08-27 19:27:23+00:00,https://twitter.com/danheld, If you liked at $69 000 you should love it at $20 000.,4214,1
11,2022-10-01 20:01:28+00:00,https://twitter.com/BitcoinMagazine, If your is on an exchange you own zero BTC,4125,-1
12,2022-08-02 20:00:32+00:00,https://twitter.com/BTC_Archive, NEW: has already bottomed and fair value is $40 000. - Anthony Scaramucci,3761,1
13,2022-09-07 20:06:07+00:00,https://twitter.com/LuganoLivingLab, Congratulations to President and all El Salvador citizens for the first anniversary of the law. Luganois excited to follow this amazing journey sharing,3559,1
14,2022-08-06 16:20:43+00:00,https://twitter.com/BTC_Archive, ELON MUSK: Transactional throughput capability of Doge is much higher than For the love of GOD! Someone tell him about the Lightning Network,3404,1
15,2022-08-17 21:07:56+00:00,https://twitter.com/Bitboy_Crypto, Bitcoin probably ending the relief rally soon. Sorry folks!,3219,1
16,2022-08-04 20:47:10+00:00,https://twitter.com/BitcoinMagazine, Be your own bank with literally,3184,1
17,2022-08-16 19:33:12+00:00,https://twitter.com/MMCrypto, This week will be CRAZY for,2622,1
18,2022-08-06 15:37:00+00:00,https://twitter.com/BTC_Archive, FACT: Since buying MicroStrategy has outperformed 97% of S&amp;P 500 stocks. - Michael Saylor is good for business,2389,1
19,2022-08-07 19:36:48+00:00,https://twitter.com/AurelienOhayon, THE 5TH GREAT BULL RUN STARTS.,2232,1
20,2022-08-26 21:14:33+00:00,https://twitter.com/MartiniGuyYT, I'm 26 I'm a dropout I'm not born into money I educated myself about These days i run a startup with 30+ Employees that costs me six figures a month I make my own luck i invest my self made wealth back into my own ideas to make tomorrow better than today,2207,1
21,2022-09-06 20:11:40+00:00,https://twitter.com/LayahHeilpern, Now is an excellent time to buy Future millionaires understand this.,2187,1
22,2022-09-18 21:55:05+00:00,https://twitter.com/Standartskilll," Der Hacker verkauft den Sourcecode von GTA 6. Ein scammer hat sich als den Hacker"" ausgegeben und jmd hat ihn 100k in bitcoin gesendet FR DEN SOURCECODE WTF. Aber das war halt nicht der echte Ha"". Der typ hat jetzt einfach 100k verloren.",2011,-1
23,2022-08-26 18:53:06+00:00,https://twitter.com/BTC_Archive, JUST IN: 51% trading volume is fake - Forbes study,2002,-1
24,2022-08-23 23:23:11+00:00,https://twitter.com/mikealfred, If your biggest asset is your house and you own no you will almost certainly be significantly poorer in 3 years compared to someone whose biggest asset is Bitcoin and doesn't own a home.,1865,-1
25,2022-08-24 20:45:44+00:00,https://twitter.com/alexacrypto_, under $40 000 is VERY cheap. Act accordingly.,1838,1
26,2022-09-21 20:23:25+00:00,https://twitter.com/BTC_Archive, BREAKING: El Salvador has repurchased +$565 million of its debt for a saving of $275 million. Amazing from the land of and Beauty!,1801,1
27,2022-09-16 23:45:00+00:00,https://twitter.com/romoolo, JUST IN continues to operate flawlessly with no leaders no employees no head office no board of directors no regulating body no accountants no lawyers no debt and no,1764,1
28,2022-09-21 19:08:49+00:00,https://twitter.com/BitcoinMagazine," JUST IN - Fed Chair Powell: How do we get rid of inflation? It was nice if the""wish it away"" but there isn't. Sir we literally have",1593,-1
